,title,area,construction_year,rooms,total_price,floor,elevator,parking,warehouse,price,token,vacancy_id,vacancy_name
25,برج مدرن_سازه ای برند_شخصی ساز,132,1402,2,"11,880,000,000 twmn",2,True,True,True,11879999488,AZrFIjLW,992,آبشار
26,واحد 66.29 متری در زیبای شمالی (پایین محلاتی),66,1385,1,"3,200,000,000 twmn",3,False,True,True,3200000000,AZrh3Spv,992,آبشار
27,واحد ۱۱۰م ۲خ غرب ایرانمال دریاچه فول مستر,110,1402,2,"2,000,000,000 twmn",10,True,True,True,2000000000,AZHBJBKo,992,آبشار
28,آپارتمان ۴۰ متر ، یک خوابه,40,1393,1,"2,800,000,000 twmn",3,True,True,True,2800000000,AZLxWMIq,992,آبشار
29,آپارتمان ۵۵ متری یک خوابه فول,55,1390,1,"2,650,000,000 twmn",5,True,True,True,2649999872,AZrdD-cf,992,آبشار
30,آپارتمان 106 متری طبقه 22 شهرک خرازی,106,1402,2,"12,000,000,000 twmn",22,True,True,True,12000000000,AZrlzEDy,992,آبشار
31,آپارتمان 87_5 متر محله ایران,88,1385,2,"4,000,000,000 twmn",4,False,True,True,4000000000,AZrFTW6n,992,آبشار
32,آپارتمان ۹۲ متری منطقه ۱۲,92,1378,2,"4,100,000,000 twmn",zyrhmkhf,False,True,True,4100000000,AZrtCTcU,992,آبشار
33,۱۰۰مترخوابه ابشار,100,1402,2,"10,500,000,000 twmn",12,True,True,True,10499999744,AZrdSKcf,992,آبشار
34,۶۸متری طبقه سوم تمیز,68,1388,2,"3,600,000,000 twmn",3,False,True,True,3600000000,AZrdCy06,992,آبشار
35,آپارتمان ۱۶۳ متری سه خواب اسکلت فلزی,163,1388,3,"11,150,000,000 twmn",3,True,True,True,11150000128,AZrRC8bL,992,آبشار
36,آپارتمان101متر 2خوابه سرگردمحبی,101,1388,2,"6,060,000,000 twmn",4,True,True,True,6060000256,AZrNSRAb,992,آبشار
37,آپارتمان۱۱۰ متری_چیتگر_برج مجلل بانک کشاورزی,110,1401,2,"2,640,000,000 twmn",12,True,True,True,2640000000,AZPZ8lkl,992,آبشار
38,۱۳۸متری سه خواب_ابشارتهران منطقه ۲۲,135,1402,3,"4,140,000,000 twmn",12,True,True,True,4140000000,AZfp4XMN,992,آبشار
39,خرید ملک در دبی,90,1401,2,"6,000,000,000 twmn",0,True,True,True,6000000000,AZrNwhVD,992,آبشار
40,آپارتمان ۸۰ متری چیتگر آبشار,80,1393,2,"6,350,000,000 twmn",4,True,True,True,6350000128,AZqNDgbd,992,آبشار
41,آپارتمان۷۵متردوخواب،الهیه،چیتگر،دریاچه،مترو,75,1402,2,"1,660,000,000 twmn",14,True,True,True,1660000000,AZb1Gquw,992,آبشار
42,۱۱۴متری نگین غرب ویو دار شمالیو جنوبی,114,1402,2,"6,900,000,000 twmn",4,True,True,True,6899999744,AZcFbsT8,992,آبشار
43,۱۶۸ متر ۳ خوابه. نما انگلیسی,168,1390,3,"11,760,000,000 twmn",4,True,True,True,11760000000,AZqlC31W,992,آبشار
44,۹۷ متر،دوخواب،قدرالسهم,97,1402,2,"2,466,000,000 twmn",8,True,True,True,2465999872,AZqlgkGy,992,آبشار
45,آپارتمان ۸۸ متری_ویو دریاچه_مستر,88,1402,2,"1,820,000,000 twmn",7,True,True,True,1820000000,AZQBLwi_,992,آبشار
46,آپارتمان۱۱۱متردوخواب،غرب‌دریاچه،صدرا،شهرک‌راه‌آهن,111,1402,2,"1,660,000,000 twmn",12,True,True,True,1660000000,AZbVYVVr,992,آبشار
47,آپارتمان۱۰۰متردوخواب،چیتگر،مترو،کوهک،صدر,100,1402,2,"1,600,000,000 twmn",11,True,True,True,1600000000,AZY5_7gP,992,آبشار
48,آپارتمان ۱۰۴ متری دو خوابه برج تعزیرات آبشار,104,1399,2,"9,200,000,000 twmn",7,True,True,True,9200000000,AZpxc_US,992,آبشار
49,۱۵۶ متری در فراز آسمان ها ویو دریاچه,156,1402,3,"3,908,000,000 twmn",25,True,True,True,3908000000,AZXRE_Xs,992,آبشار
50,۷۵ متر دو خوابه طبقه چهار دردار,75,1375,2,"2,100,000,000 twmn",4,False,True,True,2100000000,AZpxj5-T,992,آبشار
51,آپارتمان ۶۰متر .۱خوابه,60,1380,1,"3,600,000,000 twmn",1,False,True,True,3600000000,AZp5gUl3,992,آبشار
52,آپارتمان 58 متری,58,1380,1,"3,074,000,000 twmn",hmkhf,False,True,True,3073999872,AZpdAYgH,992,آبشار
53,۶۵متری شگفت اور _تاپ برج ۲۴ طبقه الهیه غرب,65,1401,1,"1,560,000,000 twmn",10,True,True,True,1560000000,AZoVNamU,992,آبشار
54,64متر خوش نقشه ویو ابدی نورگیر,64,1402,1,"1,166,000,000 twmn",8,True,True,True,1166000000,AZoxoNkV,992,آبشار
55,آپارتمان فروشی در منطقه 12 تهران (خ دردار),88,1386,2,"4,400,000,000 twmn",3,False,True,True,4400000000,AZoN4Pjq,992,آبشار
56,آپارتمان ۸۸ متری  آبشار،دردار,88,1388,2,"4,400,000,000 twmn",3,False,True,True,4400000000,AZkFp9do,992,آبشار
57,آپارتمان  130 متر 3 خواب فول امکانات,130,1397,3,"11,050,000,000 twmn",6,True,True,True,11050000384,AZoFHriv,992,آبشار
58,مسکونی سه طبقه تک واحدی متراژ ۸۸,88,1388,2,"4,400,000,000 twmn",3,False,True,True,4400000000,AZoZlJNO,992,آبشار
59,۱۱۴ متری خوش نقشه,114,1396,2,"8,500,000,000 twmn",2,True,True,True,8499999744,AZn1RkNT,992,آبشار
60,اپارتمان ۱۳۵ متری سه خوابه ابشار تهران,135,1392,3,"8,740,000,000 twmn",3,True,True,True,8739999744,AZmBBAGz,992,آبشار
61,۱۰۸ متر،تک واحد، منطقه ۱۲,108,1402,2,"7,000,000,000 twmn",2,True,True,True,7000000000,AZhRdTiW,992,آبشار
62,واحد۶۱ متری_تک خواب_پنجره قدی_پرده خور_الهیه چیتگر,61,1401,1,"1,350,000,000 twmn",5,True,True,True,1350000000,AZXtkZ8O,992,آبشار
63,۸۶متر خرید,86,1402,2,"3,870,000,000 twmn",4,True,True,True,3870000128,AZmpC8sn,992,آبشار
64,63متر فول امکانات_ویو ابدی _خوش نقشه,63,1402,1,"1,170,000,000 twmn",9,True,True,True,1170000000,AZmtWlhv,992,آبشار
65,آپارتمان  164 متر سه خواب,164,1389,3,"11,150,000,000 twmn",3,True,True,True,11150000128,AZlBOgR-,992,آبشار
66,94متر آپارتمان  شهرک راه آهن,94,1402,2,"4,325,000,000 twmn",2,True,True,True,4325000192,AZmlyYn8,992,آبشار
67,۶۸ متری خوش نقشه ابتدای خیابان ایران,68,1390,1,"4,000,000,000 twmn",3,False,True,True,4000000000,AZlp9j3C,992,آبشار
68,۵۵ متر آپارتمان فول امکانات در آبشار,55,1393,1,"2,650,000,000 twmn",4,True,True,True,2649999872,AZlRd0_h,992,آبشار
69,آپارتمان 140 متر سه خوابه,140,qbl z 1370,3,"7,550,000,000 twmn",1,False,True,True,7550000128,AZl58kdS,992,آبشار
70,برج فراز _۶۴متر_خوش نقشه,64,1401,1,"1,560,000,000 twmn",9,True,True,True,1560000000,AZIl83gM,992,آبشار
71,آپارتمان ۱۱۰ متر دو خوابه نوساز,110,1402,2,"7,000,000,000 twmn",2,True,True,True,7000000000,AZf5WNs_,992,آبشار
72,69متر خوش نقشه امکانات رفاهی مدرن و,69,1402,1,"1,500,000,000 twmn",2,True,True,True,1500000000,AZkdcbp-,992,آبشار
73,آپارتمان ١٠٢ مترى در آبشار (تعزیرات),102,1400,2,"8,500,000,000 twmn",9,True,True,True,8499999744,AZbZBem8,992,آبشار
74,۸۸متری دوخواب,88,1388,2,"4,400,000,000 twmn",3,False,True,True,4400000000,AZY9KZcA,992,آبشار
75,آپارتمان ۱۳۵ متری سه خوابه,135,1400,3,"10,800,000,000 twmn",1,True,True,True,10800000000,AZkpqY5H,992,آبشار
76,125متر متریال  و مدرن_ستین_غرق نور,125,1402,3,"3,250,000,000 twmn",8,True,True,True,3249999872,AZktYyyC,992,آبشار
77,سرگرد محبی ۱۰۱متر تک واحدی فول,101,1388,2,"6,100,000,000 twmn",4,True,True,True,6099999744,AZkZYDVs,992,آبشار
78,۸۰متری‌۲خواب مروارید آبشار,80,1400,2,"8,000,000,000 twmn",8,True,True,True,8000000000,AZjR7o1y,992,آبشار
79,آپارتمان 85متری_نزدیک دریاچه _بدون مشرف_چیتگر۲۲,85,1402,2,"3,825,000,000 twmn",10,True,True,True,3824999936,AZjJr7OW,992,آبشار
80,۷۲ متر دو خواب خیابان ایران,72,1390,2,"4,650,000,000 twmn",1,True,True,True,4649999872,AZj9K1gr,992,آبشار
81,۷۴ متر _ پارکینگ دار _ خوش نقشه _ ۱۷ شهریور,74,1390,2,"3,435,000,000 twmn",4,False,True,True,3435000064,AZhBvLSl,992,آبشار
82,واحد در آبشار ۲و۳ طبقات بالا خوش نقشه جنوبی_پٍنت×,120,1402,2,"5,350,000,000 twmn",23,True,True,True,5350000128,AZYJKmR_,992,آبشار
83,اپارتمان ۹۲ متری منطقه ۱۲,92,1378,2,"4,150,000,000 twmn",zyrhmkhf,False,True,True,4150000128,AZYJaf23,992,آبشار
84,آپارتمان ۵۳ متری فول امکانات,53,1394,1,"3,100,000,000 twmn",5,True,True,True,3100000000,AZidG9mc,992,آبشار
85,آپارتمان ۱۳۴ متر شخصی ساز,134,1398,3,"9,380,000,000 twmn",5,True,True,True,9379999744,AZiJjLKT,992,آبشار
86,137 متری دردار تک واحدی,137,1395,3,"8,500,000,000 twmn",4,True,True,True,8499999744,AZh1eeBT,992,آبشار
87,172متر_برج فول امکانات_ستین_دریاچه چیتگر,172,1402,4,"4,547,400,000 twmn",10,True,True,True,4547400192,AZhtu0Y_,992,آبشار
88,۸۲ متر * تک واحدی * سه طرف نور,82,1388,2,"4,500,000,000 twmn",1,True,True,True,4499999744,AZh5EZRf,992,آبشار
89,آپارتمان ۱۳۵متری سه خوابه,135,1400,3,"9,000,000,000 twmn",4,True,True,True,8999999488,AZhdM8b9,992,آبشار
90,آپارتمان ۲خوابه,110,1402,2,"5,900,000,000 twmn",10,True,True,True,5900000256,AZghfbfI,992,آبشار
91,آپارتمان 53 متر,52,1386,1,"2,800,000,000 twmn",1,False,True,True,2800000000,AZgldOM1,992,آبشار
92,۸۵متر خوش نقشه نورگیر شهرک امید دژبان دهکده‌المپیک,85,1387,2,"6,000,000,000 twmn",0,False,True,True,6000000000,AZgF9jk3,992,آبشار
93,آپارتمان  110 متر سه خواب فول امکانات,110,1402,3,"7,800,000,000 twmn",5,True,True,True,7800000000,AZgN9J7Q,992,آبشار
94,برج_ سنددار_ ۱۱۸متری_ ۲ خواب,118,1398,2,"9,350,000,000 twmn",3,True,True,True,9349999616,AZglqEZL,992,آبشار
95,آپارتمان ۸۸ متر ۲خوابه,88,1387,2,"4,800,000,000 twmn",3,False,True,True,4800000000,AZgxKtDZ,992,آبشار
96,۱۱۵ متر_دوخوابه_دریاچه چیتگر,115,1402,2,"4,700,000,000 twmn",18,True,True,True,4700000256,AZI5tUNL,992,آبشار
97,84 متر آپارتمان_خوش نقشه,84,1390,2,"3,900,000,000 twmn",3,False,True,True,3900000000,AZgdImPC,992,آبشار
98,170متر برج مجلل_ستین_لابی من_تراس مسقف,170,1402,4,"4,547,200,000 twmn",11,True,True,True,4547200000,AZg1mgHc,992,آبشار
99,برج٨٥متری دوخواب_ابشارتهران_منطقه٢٢_وامدار,85,1402,2,"3,825,000,000 twmn",12,True,True,True,3824999936,AZfB64Su,992,آبشار
100,تهران فروش یا معاوضه در شاهین شهر,74,1395,1,"3,850,000,000 twmn",4,True,True,True,3849999872,AZf9TNqM,992,آبشار
101,آپارتمان ٤٧ متر ١٦ متری امیری,47,1380,1,"2,800,000,000 twmn",0,False,True,True,2800000000,AZf5F9OD,992,آبشار
102,فروش آپارتمان,92,1389,2,"5,100,000,000 twmn",4,True,True,True,5100000256,AZftTd-6,992,آبشار
103,آپارتمان ۶۵ متر ۲خواب,65,1385,2,"4,400,000,000 twmn",2,True,True,True,4400000000,AZeV69_S,992,آبشار
104,اپارتمان۱۳۷متری طبقه۴تکواحدی,137,1395,3,"8,930,000,000 twmn",4,True,True,True,8929999872,AZe1z6wv,992,آبشار
105,اپارتمان ۱۳۱ متری ۳ خواب.,131,1393,3,"10,900,000,000 twmn",4,True,True,True,10899999744,AZc1pivB,992,آبشار
106,121متر خوش نقشه_ستین_ویو دریاچه_ برج,121,1402,3,"3,210,000,000 twmn",7,True,True,True,3209999872,AZYRbABm,992,آبشار
107,اپارتمان ۸۵ متر ابشار,85,1401,2,"5,800,000,000 twmn",6,True,True,True,5800000000,AZcRotTS,992,آبشار
108,157 متر سه خوابه مجلل خوش نقشه نور گیر دریاچه,157,1397,3,"15,300,000,000 twmn",15,True,True,True,15299999744,AZcNIK7C,992,آبشار
109,اپارتمان ۵۸متری_یکجا_ابشار,58,1386,1,"2,200,000,000 twmn",hmkhf,False,True,True,2200000000,AZb5p9rY,992,آبشار
110,۷۶متری ۳خوابه، در محله دردار,76,1382,3,"3,700,000,000 twmn",2,False,True,True,3700000000,AZcJd3J8,992,آبشار
111,۹۱متر نورگیر دیزاین شده_ شهرک راه آهن دریاچه,91,1400,2,"8,645,000,000 twmn",10,True,True,True,8645000192,AZc1e8kK,992,آبشار
112,۱۴۰ متر ۳ خواب دو پارکینگ سندی آبشار,140,1371,3,"14,100,000,000 twmn",1,False,True,True,14099999744,AZQZ77PL,992,آبشار
113,سهام ۵۰ متری چیتگر ارتش,50,1398,bdwn tq,"1,850,000,000 twmn",0,True,True,True,1850000000,AZb10rJ-,992,آبشار
114,آپارتمان فروشی ۵۰ متری یک خوابه ۱۷ سال ساخت,50,1383,1,"2,250,000,000 twmn",hmkhf,False,True,True,2249999872,AZYJ7ZQO,992,آبشار
115,آپارتمان ۱۰۸ متری,108,1401,2,"7,000,000,000 twmn",1,True,True,True,7000000000,AZYV5ab6,992,آبشار
116,خیابان ایران سه طبقه مستقل,178,1378,+4,"13,000,000,000 twmn",3,False,True,True,12999999488,AZYdJeN9,992,آبشار
117,۵۳ متر در محیطی کاملا سالم و فرهنگی,53,1394,1,"3,115,000,000 twmn",5,True,True,True,3115000064,AZZ9-2_k,992,آبشار
118,۴۵ مترباپارکینگ بدون مشابه فقط معاوضه با بزرگتر,45,1380,1,"3,010,000,000 twmn",2,False,True,True,3009999872,AZX5y2eM,992,آبشار
119,۸۱مترویوداردرنهایت نقشه و زیبایی فول آزادشهر,81,1401,2,"8,150,000,000 twmn",9,True,True,True,8150000128,AZWpFG6v,992,آبشار
120,ملک ۹۸ متری دوخوابه در ابشار,98,1399,2,"9,000,000,000 twmn",8,True,True,True,8999999488,AZVVDito,992,آبشار
121,ویو ابدی دریاچه و جنگل_۱۱۱ متر_دو خواب_ط ۱۸,111,1395,2,"10,600,000,000 twmn",18,True,True,True,10599999488,AZVRnSI5,992,آبشار
122,اپارتمان (مزایده),56,1393,1,"1,380,000,000 twmn",hmkhf,True,True,True,1380000000,AZVFHgEV,992,آبشار
123,سهم 55متری پروژه چیتگر,55,1402,bdwn tq,"2,800,000,000 twmn",13,True,True,True,2800000000,AZUN7foA,992,آبشار
124,118*سه خواب *کلیدنخورده,118,1401,3,"6,254,000,000 twmn",2,True,True,True,6254000128,AZTx6xKF,992,آبشار
125,دو خوابه ، تراس قابل چیدمان ، پایان پذیره نویسی,121,1402,2,"2,300,000,000 twmn",11,True,True,True,2300000000,AZT9q67j,992,آبشار
126,اپارتمان ۱۱۰ متری_دو خواب_چیتگر_دریاچه_منطقه۲۲,110,1401,2,"8,400,000,000 twmn",10,True,True,True,8400000000,AZSJQ1UJ,992,آبشار
127,162متر چهار خواب _ستین_برج _ویو دریاچه,162,1402,4,"4,280,000,000 twmn",8,True,True,True,4280000000,AZTRECUN,992,آبشار
128,۱۲۲متردیزاین شده رویایی مبله منطقه دریاچه,122,1396,2,"9,500,000,000 twmn",3,True,True,True,9500000256,AZSVHhmA,992,آبشار
129,آپارتمان۱۲۰متری_غرق نور و شکوه_استخر وسونا,119,1402,2,"1,964,000,000 twmn",10,True,True,True,1964000000,AZS5ZW-Y,992,آبشار
130,آپارتمان 75متر_2خواب_امید دژبان_راه آهن_کوهک,75,1389,2,"6,000,000,000 twmn",3,True,True,True,6000000000,AZSxhUDi,992,آبشار
131,اپارتمان ۴۰متری,40,1384,1,"2,400,000,000 twmn",4,False,True,True,2400000000,AZRVEWc_,992,آبشار
132,واحد ۱۰۰ متری پلانی دقیق و قابل چیدمان قابل تهاتر,96,1402,2,"1,630,000,000 twmn",10,True,True,True,1630000000,AZRtl-Vo,992,آبشار
133,۵۲۸ متر نیاوران بوکان,528,1387,4,"158,000,000,000 twmn",4,True,True,True,158000005120,AZRJilC3,992,آبشار
134,اپارتمان تک واحدی ،۱۱۵ متر. دو خوابه,115,1386,2,"6,500,000,000 twmn",2,False,True,True,6499999744,AZR1hgXE,992,آبشار
135,فروش آپارتمان ۶۸ متری یک خوابه ۱۸ سال ساخت,68,1383,1,"3,750,000,000 twmn",4,False,True,True,3750000128,AZQ193Nb,992,آبشار
136,فروش آپارتمان ۷۲ متری دو خوابه ۱۸ سال ساخت,71,1383,2,"3,950,000,000 twmn",4,False,True,True,3950000128,AZQt9NWL,992,آبشار
137,آپارتمان 153متری سه خوابه_ستین _دریاچه _مستر,153,1402,3,"4,012,500,000 twmn",4,True,True,True,4012499968,AZONHFhR,992,آبشار
138,فروش آپارتمان ۶۵ متری یک خوابه ۲۰ سال ساخت,65,1382,1,"3,000,000,000 twmn",4,True,True,True,3000000000,AZPNXFcZ,992,آبشار
139,۶۳متر یک خواب فول امکانات,63,1388,1,"3,350,000,000 twmn",4,True,True,True,3350000128,AZM18u7M,992,آبشار
140,آپارتمان ۱۰۸ متری_لوکیشن,108,1392,2,"7,300,000,000 twmn",1,True,True,True,7299999744,AZIRCQdV,992,آبشار
141,آپارتمان ۹۰ متری_دریاچه چیتگر,90,1393,2,"6,600,000,000 twmn",2,True,True,True,6600000000,AZHp4uF3,992,آبشار
142,اپارتمان ۶۰۰  متر یکجا در ۵ طبقه,600,1390,1,"32,000,000,000 twmn",5,True,True,True,32000000000,AZxIF8Gy,992,آبشار
143,اپارتمان۸۰متری_۲خواب_برج زنبق,80,1392,2,"6,400,000,000 twmn",4,True,True,True,6400000000,AZsFcevv,907,آبشار تهران
144,واحد ۸۵متر.,86,1402,2,"3,720,000,000 twmn",11,True,True,True,3720000000,AZHdJ86u,992,آبشار
145,۱۰۵ متر ویو کوهستان,105,1393,2,"7,300,000,000 twmn",3,True,True,True,7299999744,AZJNj9CZ,907,آبشار تهران
146,۸۰ متر سند تک برگ,80,1385,2,"5,000,000,000 twmn",3,False,True,True,5000000000,AZoVclKn,907,آبشار تهران
147,آپارتمان 80 متری 2 خواب چیتگر,80,1390,2,"5,900,000,000 twmn",3,True,True,True,5900000256,AZsZGVSI,907,آبشار تهران
148,برج مدرن_منطقه گردشگری تهران چیتگردریاچه‌ کوهک‌ونک,100,1401,2,"1,350,000,000 twmn",7,True,True,True,1350000000,wYcIthmm,907,آبشار تهران
149,133متر3خوابه چیتگر دریاچه  ابشار,133,1399,3,"9,990,000,000 twmn",10,True,True,True,9989999616,AZtdSFlt,907,آبشار تهران
150,آپارتمان، نگین آبشار، برج B,114,1397,2,"9,690,000,000 twmn",9,True,True,True,9690000384,AZt9xcic,907,آبشار تهران
151,۷۸متر بدون پرتی با ویوی همیشگی طهران و دریاچه,78,1401,2,"7,750,000,000 twmn",10,True,True,True,7750000128,AZglcHvW,907,آبشار تهران
152,۱۰۳متر۲خواب برج‌وام‌داروزرا سازهcft_استخرجکوزی,103,1402,2,"3,100,000,000 twmn",12,True,True,True,3100000000,AZb5E_Vu,907,آبشار تهران
153,۷۸متر ویو بدون مشرف دریاچه و نورگیر مستقیم جنوبی,78,1401,2,"7,800,000,000 twmn",8,True,True,True,7800000000,AZfN0opJ,907,آبشار تهران
154,۱۱۰ متر_۲خوابه_فول امکانات_امید دژبان,110,1388,2,"7,100,000,000 twmn",1,True,True,True,7100000256,AZs9P9Av,907,آبشار تهران
155,آپارتمان ۱۲۹متر.منطقه گردشگری تهران.وام دار.دریاچه,129,1402,2,"2,800,000,000 twmn",12,True,True,True,2800000000,AZbBV-4h,907,آبشار تهران
156,آپارتمان150متر_3خواب_وامدار_چیتگر_برج وزرا,150,1401,3,"3,000,000,000 twmn",25,True,True,True,3000000000,AZiljsmQ,907,آبشار تهران
157,آپارتمان دوخوابه ۸۵متر امیددژبان,85,1392,2,"5,050,000,000 twmn",3,False,True,True,5049999872,AZkd-Ikc,907,آبشار تهران
158,واحدآپارتمان۲خواب_خوش نقشه_چیتگر_دریاچه_وام دار,101,1402,2,"1,390,000,000 twmn",10,True,True,True,1390000000,AZcV9Aye,907,آبشار تهران
159,۸۱م خوش نقشه دو خواب_آبشار تهران _ منطقه ی۲۲,81,1395,2,"6,420,000,000 twmn",5,True,True,True,6419999744,AZstvppv,907,آبشار تهران
160,عمارت برج سران2_شهرک مدرن تهران غرب دریاچه,100,1401,2,"1,360,000,000 twmn",8,True,True,True,1360000000,AZCgFpB7,907,آبشار تهران
161,80 متری ، امید دژبان ، 2 خواب,80,1386,2,"4,900,000,000 twmn",3,False,True,True,4899999744,AZsNDSn6,907,آبشار تهران
162,۱۳۱متر دریاچه چیتگر_سنددار_ویوجنگل_آبشار_دوکله,131,1394,3,"9,600,000,000 twmn",4,True,True,True,9600000000,AZs1N0O4,907,آبشار تهران
163,آپارتمان۱۱۳متردوخواب،دریاچه،مترو، چیتگر، اردستانی,113,1402,2,"1,800,000,000 twmn",5,True,True,True,1800000000,AZs1dW0V,907,آبشار تهران
164,۱۳۱متر_سنددار_شهرک امیددژبان_دریاچه چیتگر_فروشنده,131,1388,3,"8,150,000,000 twmn",3,False,True,True,8150000128,AZkZPwXj,907,آبشار تهران
165,نگین غرب  ۷۳ متر  ۲ خواب,73,1394,2,"4,900,000,000 twmn",1,True,True,True,4899999744,AZsFYcDw,907,آبشار تهران
166,۸۰متر سند تک برگ ویو باز دریاچه چیتگر آبشار,80,1390,2,"6,700,000,000 twmn",10,True,True,True,6700000256,AZrhRhZ8,907,آبشار تهران
167,آپارتمان دو خوابه بازنشستگان ارتش,105,1392,2,"7,700,000,000 twmn",1,True,True,True,7699999744,AZsNtVQJ,907,آبشار تهران
168,آپارتمان ۵۵متر_وزرا پالاس_فول_چیتگر_وامدار,55,1402,1,"1,650,000,000 twmn",12,True,True,True,1650000000,AZcB7cO8,907,آبشار تهران
169,آپارتمان ۸۵متر_ وزرا پالاس_فول_ آبشار_دریاچه چیتگر,85,1402,1,"2,550,000,000 twmn",19,True,True,True,2550000128,AZbpq79D,907,آبشار تهران
170,82متر سند تک برگ,82,1390,2,"5,800,000,000 twmn",2,False,True,True,5800000000,AZi9G0Mh,907,آبشار تهران
171,۱۱۵متر _وامدار_چیتگر_دریاچه _,115,1402,2,"3,300,000,000 twmn",6,True,True,True,3300000000,AZSJVROz,907,آبشار تهران
172,۶۰ متر ۱ خواب غرب تهران الهیه غرب,60,1402,2,"1,350,000,000 twmn",8,True,True,True,1350000000,AZbRZNWx,907,آبشار تهران
173,فروش آپارتمان ۱۲۱ متری با تراس قابل چیدمان,121,1399,3,"10,000,000,000 twmn",9,True,True,True,10000000000,AZs5MCUo,907,آبشار تهران
